Summons Number,Plate ID,Registration State,Plate Type,Issue Date,Violation Code,Vehicle Body Type,Vehicle Make,Issuing Agency,Street Code1,Street Code2,Street Code3,Vehicle Expiration Date,Violation Location,Violation Precinct,Issuer Precinct,Issuer Code,Issuer Command,Issuer Squad,Violation Time,Time First Observed,Violation County,Violation In Front Of Or Opposite,House Number,Street Name,Intersecting Street,Date First Observed,Law Section,Sub Division,Violation Legal Code,Days Parking In Effect    ,From Hours In Effect,To Hours In Effect,Vehicle Color,Unregistered Vehicle?,Vehicle Year,Meter Number,Feet From Curb,Violation Post Code,Violation Description,No Standing or Stopping Violation,Hydrant Violation,Double Parking Violation
1159637337,KZH2758,NY,PAS,06/09/2023,67,VAN,HONDA,P,0,0,0,20250201,0043,43,43,972773,0043,0000,0911A,,BX,,,I/O TAYLOR AVE,GUERLAIN,0,408,E5,,BBBBBBB,ALL,ALL,BLUE,0,2006,-,0,,,,,
1252960645,JPD8746,NY,PAS,06/30/2023,87,SUBN,LINCO,M,17870,25390,32670,20240210,0014,14,968,271057,0968,0000,0717A,,NY,O,51,E 44TH ST,,0,408,D,,BBBBBBB,ALL,ALL,GRAY,0,2020,-,0,,,,,
1252960669,JPD8746,NY,PAS,06/30/2023,31,SUBN,LINCO,M,17870,25390,32670,20240210,0014,14,968,271057,0968,0000,0823A,,,O,51,E 44TH STREET,,0,408,O3,,BBBBBBB,ALL,ALL,GRAY,0,2020,-,0,,,,,
1252994126,MBH9245,99,PAS,07/06/2023,20,SDN,KIA,M,12690,41700,61090,20231231,108,108,968,272834,0968,0000,1150P,,,F,39-41,60TH ST,,0,408,D,,BBBBBBB,ALL,ALL,WHITE,0,0,-,0,,,,,
1252994175,MBH9245,PA,PAS,07/08/2023,40,SDN,KIA,M,12690,41700,61090,20231231,108,108,968,272834,0968,0000,1150P,,Q,F,39-41,60TH ST,,0,408,D,,BBBBBBB,ALL,ALL,WHITE,0,0,-,0,,,,,
1307574919,LBZ7486,NY,PAS,07/01/2023,14,SUBN,HONDA,P,0,0,0,20250518,110,110,169,947343,0169,0000,0618P,,Q,,,C/O 126 ST,38 AVE,0,408,E2,,BBBBBBB,ALL,ALL,BK,0,2014,-,0,,,,,
1307574944,JRB4166,FL,PAS,06/07/2023,46,SUBN,HONDA,P,8690,21690,21740,20240312,110,110,169,947343,0169,0000,0246P,,Q,F,126 05,36 AVE,,0,408,C3,,BBBBBBB,ALL,ALL,,0,0,-,0,,,,,
1307575950,LCA7360J,NY,PAS,06/21/2023,46,SUBN,HONDA,P,0,61090,0,20250430,110,110,169,969119,0169,0000,0620P,,Q,,,STADIUM P N,ROOSEVELT AVE,0,408,F2,,BBBBBBB,ALL,ALL,GRY,0,2015,-,0,,,,,
1307575973,HNE3840,NY,PAS,06/21/2023,14,SDN,MAZDA,P,0,0,0,20250221,110,110,169,969119,0169,0000,0625P,,Q,,,STADIUM P N,ROOSEVELT,0,408,C,,BBBBBBB,ALL,ALL,WHT,0,2020,-,0,,,,,
1307576886,LAG7093,NY,OMT,06/03/2023,46,SDN,HONDA,P,0,40404,40404,20250129,110,110,110,961387,0110,0000,0230P,,Q,F,41,SEAVER WAY,,0,408,F7,,BBBBBBB,ALL,ALL,BLUE,0,2006,-,0,,,,,
